Path,Directory,File,Category,Function,Namespace,Types,FieldCount,MethodCount,Fields,Methods,EnumValues,Size
DataRecordKey.cs,(root),DataRecordKey.cs,存档/记录,游戏业务类，具体职责见字段和方法名,Shepherd,struct DataRecordKey,2,0,type:DataRecordType; value:int,,,118
DataRecordReminder.cs,(root),DataRecordReminder.cs,存档/记录,游戏业务类，具体职责见字段和方法名,Shepherd,class DataRecordReminder; enum DataRecordReminderType,1,1,reminderType:DataRecordReminderType,OnDataUpdate():void,DataRecordReminderType=Map = 0|Hero = 1|AnimalFamily = 2|Book = 3|Toy = 4,293
DataRecordState.cs,(root),DataRecordState.cs,存档/记录,枚举或类型标识定义,Shepherd,enum DataRecordState,0,0,,,DataRecordState=Normal = 0|Discovered = 1|UnLocked = 2|Locked = 3,129
DataRecordType.cs,(root),DataRecordType.cs,存档/记录,枚举或类型标识定义,Shepherd,enum DataRecordType,0,0,,,DataRecordType=Map = 0|Hero = 1|AnimalFamily = 2|Animal = 3|Item = 4|Toy = 5|MapChallenge = 6,169
DataSO.cs,(root),DataSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class DataSO,5,0,id:string; Id:string; IsLocked:bool; IsDiscovered:bool; IsViewed:bool,,,327
DataStateUI.cs,(root),DataStateUI.cs,界面/UI,游戏业务类，具体职责见字段和方法名,Shepherd,class DataStateUI,5,1,lockObj:GameObject; reminderObj:GameObject; icon:Image; outline:UIImageOutline; defaultIcon:Sprite,OnDataChanged():void,,329
DataTableExtension.cs,(root),DataTableExtension.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DataTableExtension,4,9,DataTableExtension:class; DataRowClassPrefixName:string; DataSplitSeparators:char[]; DataTrimSeparators:char[],LoadDataTable():void; ParseColor32():Color32; ParseColor():Color; ParseQuaternion():Quaternion; ParseRect():Rect; ParseVector2():Vector2; ParseVector3():Vector3; ParseVector4():Vector4; ParseInt32Array():int[],,1427
DayMoneyProgress.cs,(root),DayMoneyProgress.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DayMoneyProgress; class _003CInternalSmoothValue_003Ed__19,17,9,_003C_003E1__state:int; _003C_003E2__current:object; _003C_003E4__this:DayMoneyProgress; _003Cwait_003E5__2:WaitForEndOfFrame; ProgressID:int; UnscaledTimeID:int; minValue:float; maxValue:float; valueOffset:float; value:float; targetImage:Image; isSmoothing:bool; targetValue:float; targetDuration:float; startValue:float; startTime:float; material:Material,MoveNext():bool; Awake():void; OnEnable():void; OnDestroy():void; Update():void; SmoothValue():void; GetOffsetInput():float; InternalSmoothValue():IEnumerator; Set():void,,2366
DebtForm.cs,(root),DebtForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class DebtForm,5,6,debtText:TextMeshProUGUI; moneyText:TextMeshProUGUI; payButton:Button; endButton:Button; gameMode:GameMode,OnOpen():void; OnResume():void; OnClose():void; OnPaied():void; OnGameEnd():void; OnTotalMoneyChange():void,,639
DescParser.cs,(root),DescParser.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DescParser,1,6,TagPattern:string,Parse():string; ParseForRaw():string; ParseTag():string; ParseTagForRaw():string; ParseTag():string; ParseTagForRaw():string,,855
DialogForm.cs,(root),DialogForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class DialogForm,16,10,m_TitleText:TextMeshProUGUI; m_MessageText:TextMeshProUGUI; m_TipText:TextMeshProUGUI; m_ModeObjects:GameObject[]; m_ConfirmTexts:TextMeshProUGUI[]; m_CancelTexts:TextMeshProUGUI[]; m_OtherTexts:TextMeshProUGUI[]; m_DialogMode:int; m_PauseGame:bool; m_UserData:object; m_OnClickConfirm:GameFrameworkAction<object>; m_OnClickCancel:GameFrameworkAction<object>; m_OnClickOther:GameFrameworkAction<object>; DialogMode:int; PauseGame:bool; UserData:object,OnConfirmButtonClick():void; OnCancelButtonClick():void; OnOtherButtonClick():void; OnOpen():void; OnClose():void; RefreshDialogMode():void; RefreshPauseGame():void; RefreshConfirmText():void; RefreshCancelText():void; RefreshOtherText():void,,1528
DialogParams.cs,(root),DialogParams.cs,其他/辅助,能力触发、效果或参数定义,Shepherd,class DialogParams,12,0,Mode:int; Title:string; Message:string; Tip:string; PauseGame:bool; ConfirmText:string; OnClickConfirm:GameFrameworkAction<object>; CancelText:string; OnClickCancel:GameFrameworkAction<object>; OtherText:string; OnClickOther:GameFrameworkAction<object>; UserData:object,,,655
DialogueAudio.cs,(root),DialogueAudio.cs,音频,游戏业务类，具体职责见字段和方法名,Shepherd,class DialogueAudio; struct _003CDelayResetPunctuation_003Ed__12; struct _003CDelayResetVoice_003Ed__11,17,12,_003C_003E1__state:int; _003C_003Et__builder:AsyncVoidMethodBuilder; delay:float; _003C_003E4__this:DialogueAudio; punctuationId:int; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncVoidMethodBuilder; delay:float; _003C_003E4__this:DialogueAudio; voiceId:int; _003C_003Eu__1:UniTask.Awaiter; dialogueText:UIDialogueText; voices:List<UISoundSO>; punctuations:List<UISoundSO>; voiceSerialId:int?; punctuationSerialId:int?,MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; Awake():void; OnEnable():void; OnDisable():void; ReproduceSound():void; OnDialogueFinish():void; OnPlaySoundSuccessEvent():void; DelayResetVoice():void; DelayResetPunctuation():void,,2988
DisplayModeType.cs,(root),DisplayModeType.cs,配置数据,枚举或类型标识定义,Shepherd,enum DisplayModeType,0,0,,,DisplayModeType=FullScreen = 0|Windowed = 1,99
DiveEventArgs.cs,(root),DiveEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class DiveEventArgs,5,2,EventId:int; Id:int; Animal:Animal; DivePos:Vector2Int; IsTrigger:bool,Clear():void; Create():DiveEventArgs,,522
DlcComponent.cs,(root),DlcComponent.cs,其他/辅助,系统管理器/UnityGameFramework 组件,Shepherd,class DlcComponent,4,2,unlockAllDlcInEditor:bool; dlcs:List<DlcSO>; Dlcs:IReadOnlyList<DlcSO>; HasDlc:bool,Initialize():void; IsAvailable():bool,,478
DlcSO.cs,(root),DlcSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class DlcSO,9,0,id:uint; dlcName:string; packageName:string; color:Color; IsSubscribed:bool; IsInstalled:bool; IsAvailable:bool; LocalDlcName:string; DlcNameWithColor:string,,,537
DOTweenSequence.cs,(root),DOTweenSequence.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DOTweenSequence; enum DOTweenType; enum AnchorPosAutoType; class SequenceAnimation; enum AddType,37,14,AddType:AddType; InsertAtPosition:float; AnimationType:DOTweenType; Target:Component; ToValue:Vector4; RotateMode:RotateMode; AnchorAutoType:AnchorPosAutoType; UseToTarget:bool; ToTarget:Component; UseFromValue:bool; FromValue:Vector4; SpeedBased:bool; DurationOrSpeed:float; Delay:float; UpdateType:UpdateType; CustomEase:bool; EaseCurve:AnimationCurve; Ease:Ease; Loops:int; LoopType:LoopType; Snapping:bool; OnPlay:UnityEvent; OnUpdate:UnityEvent; OnComplete:UnityEvent; m_Sequence:SequenceAnimation[]; m_PlayOnAwake:bool; m_PlayOnEnable:bool; m_Delay:float; m_Ease:Ease; m_Loops:int; m_LoopType:LoopType; m_UpdateType:UpdateType; m_IgnoreTimeScale:bool; m_OnPlay:UnityEvent; m_OnUpdate:UnityEvent; m_OnComplete:UnityEvent; m_Tween:Tween,CreateTween():Tween; GetAnchorPosAutoPosition():Vector3; GetEulerAnglesAngle():float; Awake():void; OnEnable():void; OnDisable():void; InitTween():void; CreateTween():Tween; Play():void; Rewind():void; DOPlay():Tween; DORewind():Tween; DOComplete():void; DOKill():void,DOTweenType=DOMove = 0|DOMoveX = 1|DOMoveY = 2|DOMoveZ = 3|DOLocalMove = 4|DOLocalMoveX = 5|DOLocalMoveY = 6|DOLocalMoveZ = 7|DOScale = 8|DOScaleX = 9|DOScaleY = 10|DOScaleZ = 11|DORotate = 12|DOLocalRotate = 13|DOAnchorPos = 14|DOAnchorPosX = 15|DOAnchorPosY = 16|DOAnchorPosZ = 17|DOAnchorPos3D = 18|DOAnchorPosAuto = 19|DOColor = 20|DOFade = 21|DOCanvasGroupFade = 22|DOFillAmount = 23|DOFlexibleSize = 24|DOMinSize = 25|DOPreferredSize = 26|DOSizeDelta = 27|DOValue = 28|DOInterval = 29; AnchorPosAutoType=LeftEdge = 0|RightEdge = 1|TopEdge = 2|BottomEdge = 3; AddType=Append = 0|Join = 1|Insert = 2,3382
DoubleCheckHelper.cs,(root),DoubleCheckHelper.cs,其他/辅助,工具函数/扩展方法集合,Shepherd,class DoubleCheckHelper,6,6,DefaultMaxCachedValue:double; _cachedValueKeyBytes:byte[]; cachedValue:double; maxCachedValue:double; valueCheck:byte[]; CachedValueKeyBytes:byte[],UpdateValue():void; AddValue():void; CheckValue():bool; Clear():void; Create():DoubleCheckHelper; Release():void,,858
DoubleModifier.cs,(root),DoubleModifier.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DoubleModifier,0,3,,GetValue():double; Reset():void; Create():DoubleModifier,,352
DragonSealCell.cs,(root),DragonSealCell.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class DragonSealCell,1,0,Type:MapCellType,,,187
DragonSealSO.cs,(root),DragonSealSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class DragonSealSO,0,0,,,,183
DRAssetPath.cs,(root),DRAssetPath.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class DRAssetPath,3,1,id:int; Id:int; AssetPath:string,ParseDataRow():bool,,322
EarnInterestEventArgs.cs,(root),EarnInterestEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EarnInterestEventArgs,3,2,EventId:int; Id:int; Interest:double,Clear():void; Create():EarnInterestEventArgs,,376
EatenBeforeEventArgs.cs,(root),EatenBeforeEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EatenBeforeEventArgs,4,2,EventId:int; Id:int; Eater:Animal; Eaten:Animal,Clear():void; Create():EatenBeforeEventArgs,,429
EatenEventArgs.cs,(root),EatenEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EatenEventArgs,4,2,EventId:int; Id:int; Eater:Animal; Eaten:Animal,Clear():void; Create():EatenEventArgs,,417
EatenStuffEventArgs.cs,(root),EatenStuffEventArgs.cs,核心玩法/实体/地图,GameFramework 事件参数/事件数据载体,Shepherd,class EatenStuffEventArgs,4,2,EventId:int; Id:int; Eater:Animal; Eaten:Stuff,Clear():void; Create():EatenStuffEventArgs,,425
EatFailEventArgs.cs,(root),EatFailEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EatFailEventArgs,4,2,EventId:int; Id:int; Eater:Animal; Eaten:Animal,Clear():void; Create():EatFailEventArgs,,421
EatingEventArgs.cs,(root),EatingEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EatingEventArgs,5,2,EventId:int; Id:int; Eater:Animal; Eaten:Animal; Success:VarBoolean,Clear():void; Create():EatingEventArgs,,527
Effect.cs,(root),Effect.cs,其他/辅助,能力触发、效果或参数定义,Shepherd,class Effect,5,4,m_ParticleSystem:ParticleSystem; m_Sequence:DOTweenSequence; initWorldScale:Vector3; soundId:int?; Data:EffectSO,OnInit():void; OnShow():void; OnHide():void; ResetWorldScale():void,,487
EffectData.cs,(root),EffectData.cs,配置数据,游戏业务类，具体职责见字段和方法名,Shepherd,struct EffectData,3,0,effectSO:EffectSO; parentEntity:Entity; userData:object,,,189
EffectSO.cs,(root),EffectSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class EffectSO,6,0,assetName:string; duration:float; sound:SoundSO; hideSound:SoundSO; soundNoise:bool; hideEffect:EffectSO,,,346
EncryptLoadResourceAgentHelper.cs,(root),EncryptLoadResourceAgentHelper.cs,其他/辅助,工具函数/扩展方法集合,Shepherd,class EncryptLoadResourceAgentHelper,1,2,CachedKeyBytes:byte[],ReadBytes():void; ParseBytes():void,,315
EntityEffectContainer.cs,(root),EntityEffectContainer.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityEffectContainer; enum EffectPosType,8,6,top:Transform; bottom:Transform; center:Transform; topOffset:Vector2; bottomOffset:Vector2; effectItems:HashSet<EntityEffectItem>; Entity:GameEntity; IsEmpty:bool,Initialize():void; Clear():void; Update():void; GetEffect():EntityEffectItem; AddEffect():void; RemoveEffect():void,EffectPosType=Top = 0|Bottom = 1|Center = 2,988
EntityEffectContainerObject.cs,(root),EntityEffectContainerObject.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityEffectContainerObject,0,2,,Create():EntityEffectContainerObject; Release():void,,283
EntityEffectItem.cs,(root),EntityEffectItem.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityEffectItem,2,1,effectName:string; EffectName:string,OnUnspawn():void,,235
EntityEffectItemObject.cs,(root),EntityEffectItemObject.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityEffectItemObject,0,3,,Create():EntityEffectItemObject; OnUnspawn():void; Release():void,,324
EntityExtension.cs,(root),EntityExtension.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityExtension; struct _003CHideEntity_003Ed__8; struct _003CHideEntityWithDelay_003Ed__9,14,15,EntityExtension:class; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; entity:GameEntity; delayFrame:int; entityComponent:EntityComponent; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; entity:GameEntity; delay:float; entityComponent:EntityComponent; _003C_003Eu__1:UniTask.Awaiter; s_SerialId:int,MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; GenerateSerialId():int; ShowAnimal():UniTask<EntityObject>; ShowStuff():UniTask<EntityObject>; ShowEffect():UniTask<EntityObject>; ShowMapCell():UniTask<EntityObject>; ShowBoss():UniTask<EntityObject>; HideEntity():void; HideEntity():UniTask; HideEntityWithDelay():UniTask; OnShowEntitySuccess():void; OnShowEntityFailure():void,,4064
EntityLogicData.cs,(root),EntityLogicData.cs,配置数据,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityLogicData,5,3,position:Vector3; rotation:Quaternion; scale:Vector3; userData:object; utcs:UniTaskCompletionSource<EntityObject>,Clear():void; Create():EntityLogicData; Release():void,,505
EntityObject.cs,(root),EntityObject.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class EntityObject,3,4,data:EntityLogicData; gameEntity:GameEntity; GameEntity:GameEntity,OnInit():void; OnShow():void; OnRecycle():void; OnHide():void,,482
EvolutionEventArgs.cs,(root),EvolutionEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class EvolutionEventArgs,3,2,EventId:int; Id:int; Animal:Animal,Clear():void; Create():EvolutionEventArgs,,366
ExpBarEffectItem.cs,(root),ExpBarEffectItem.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class ExpBarEffectItem; struct ExpBarParams; class _003CDelayShowExp_003Ed__4,11,3,level:int; exp:int; maxExp:int; _003C_003E1__state:int; _003C_003E2__current:object; _003C_003E4__this:ExpBarEffectItem; level:int; maxExp:int; exp:int; progressBar:ProceduralProgressBar; levelText:TextMeshProUGUI,MoveNext():bool; Initialize():void; DelayShowExp():IEnumerator,,1702
FamilySelectForm.cs,(root),FamilySelectForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class FamilySelectForm,6,9,maxFamilyCount:int; familySelector:UISelector; confirmButton:Button; selectedText:TextMeshProUGUI; procedure:ProcedureMain; selectedFamilies:List<AnimalFamily>,OnOpen():void; OnClose():void; OnFamilySelect():void; OnConfirm():void; OnConfirmDisableClick():void; OnReturnButtonClick():void; Initialize():void; SelectFamily():void; UpdateFamilyUI():void,,914
FamilySelectInGameForm.cs,(root),FamilySelectInGameForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class FamilySelectInGameForm,3,3,animalFamilyItems:List<AnimalFamilyItemUI>; hasClickButton:bool; selectParams:AnimalFamilySelectInGameParams,OnOpen():void; OnSelect():void; InitAnimalFamilies():void,,451
FeedEventArgs.cs,(root),FeedEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class FeedEventArgs,4,2,EventId:int; Id:int; Feeder:Animal; Target:Animal,Clear():void; Create():FeedEventArgs,,419
FeedingEventArgs.cs,(root),FeedingEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class FeedingEventArgs,6,2,EventId:int; Id:int; Feeder:object; Feed:Animal; Target:Animal; Success:VarBoolean,Clear():void; Create():FeedingEventArgs,,592
FieldTransExp.cs,(root),FieldTransExp.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class FieldTransExp,0,1,,Trans():TOut,,296
FirstDayEventArgs.cs,(root),FirstDayEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class FirstDayEventArgs,2,2,EventId:int; Id:int,Clear():void; Create():FirstDayEventArgs,,303
Fishhook.cs,(root),Fishhook.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class Fishhook,4,2,dayText:TextMeshPro; hookDuration:float; OnHook:UnityEvent; HookHalfDuration:float,UpdateDay():void; Hook():void,,395
FloatingNumber.cs,(root),FloatingNumber.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class FloatingNumber; struct _003CFlyToTarget_003Ed__25,18,11,_003C_003E1__state:int; _003C_003Et__builder:AsyncVoidMethodBuilder; _003C_003E4__this:FloatingNumber; _003C_003Eu__1:DOTweenAsyncExtensions.TweenAwaiter; enableFlyToTarget:bool; flyPathPointCount:int; flySpeed:float; randFly:float; flyEase:Ease; leftImage:Image; isWaitingForEnableImage:bool; target:RectTransform; path:Vector3[]; isFlyStart:bool; isFlyEnd:bool; isReverse:bool; OnReachTarget:Action<FloatingNumber>; Number:BigInteger,MoveNext():void; SetStateMachine():void; Show():FloatingNumber; Show():FloatingNumber; Show():FloatingNumber; OnPreSpawn():void; OnStart():void; OnLateUpdate():void; GetPositionFactor():float; UpdateDamageNumber():void; FlyToTarget():void,,2693
FloatingTextManager.cs,(root),FloatingTextManager.cs,界面/UI,系统管理器/UnityGameFramework 组件,Shepherd,class FloatingTextManager; enum FloatingTaskType; struct FloatingTask; struct _003CShowBaseMoney_003Ed__28; struct _003CShowCustomText_003Ed__30; struct _003CShowExp_003Ed__29; struct _003CShowFloatIcon_003Ed__31; struct _003CShowFloatNumFromScreen_003Ed__32; struct _003CShowGoldFromScreen_003Ed__27; struct _003CShowMoneyFromScreen_003Ed__26; class _003CUpdateFloatingTask_003Ed__22,102,35,type:FloatingTaskType; target:IFloatingTarget; position:Vector3; value:BigInteger; text:string; playSound:bool; isBaseMoney:bool; icon:Sprite; isReverse:bool; onlyReach:bool; isCritical:bool; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:FloatingTextManager; delay:bool; position:Vector3; money:BigInteger; playSound:bool; sourceIcon:Sprite; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:FloatingTextManager; delay:bool; position:Vector3; text:string; playSound:bool; sourceIcon:Sprite; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:FloatingTextManager; delay:bool; position:Vector3; exp:int; playSound:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:FloatingTextManager; position:Vector3; icon:Sprite; playSound:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; target:IFloatingTarget; delay:bool; _003C_003E4__this:FloatingTextManager; screenPos:Vector3; num:BigInteger; leftText:string; playSound:bool; isReverse:bool; onlyReach:bool; isCritical:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; delay:bool; _003C_003E4__this:FloatingTextManager; screenPos:Vector3; gold:BigInteger; playSound:bool; sourceIcon:Sprite; isReverse:bool; _003C_003Eu__1:UniTask.Awaiter; _003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; delay:bool; _003C_003E4__this:FloatingTextManager; target:IFloatingTarget; screenPos:Vector3; money:BigInteger; playSound:bool; isBaseMoney:bool; sourceIcon:Sprite; isReverse:bool; isCritical:bool; _003C_003Eu__1:UniTask.Awaiter,MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():void; SetStateMachine():void; MoveNext():bool; Awake():void; OnEnable():void; UpdateFloatingTask():IEnumerator; ShowMoney():UniTask; ShowGold():UniTask; ShowFloatNum():UniTask; ShowMoneyFromScreen():UniTask; ShowGoldFromScreen():UniTask; ShowBaseMoney():UniTask; ShowExp():UniTask; ShowCustomText():UniTask; ShowFloatIcon():UniTask; ShowFloatNumFromScreen():UniTask; InternalShowMoneyFromScreen():void; InternalShowGoldFromScreen():void; InternalShowBaseMoney():void; InternalShowExp():void; InternalShowCustomText():void; InternalShowFloatIcon():void; InternalShowFloatNumFromScreen():void,FloatingTaskType=Money = 0|Gold = 1|BaseMoney = 2|Exp = 3|CustomText = 4|Icon = 5|BossMoney = 6|FloatNum = 7,13638
FloatModifier.cs,(root),FloatModifier.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class FloatModifier,0,3,,GetValue():float; Reset():void; Create():FloatModifier,,342
FlyCell.cs,(root),FlyCell.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class FlyCell,2,0,FlyCoordsY:int; Type:MapCellType,,,177
FlyGrid.cs,(root),FlyGrid.cs,其他/辅助,枚举或类型标识定义,Shepherd,class FlyGrid,6,7,defaultCount:int; outHeight:float; flyStart:Transform; flyEnd:Transform; hoverPoints:List<Transform>; DefaultCount:int,IsFlip():bool; GetFlyCellPosition():Vector3; GetFlyCellScrennPos():Vector3; GetFlyCellOutPosition():Vector3; GetFlyStartPosition():Vector3; GetFlyEndPosition():Vector3; OnDrawGizmosSelected():void,,1011
FlyObjectEffect.cs,(root),FlyObjectEffect.cs,其他/辅助,能力触发、效果或参数定义,Shepherd,class FlyObjectEffect; struct _003CFlyToTarget_003Ed__5,10,4,_003C_003E1__state:int; _003C_003Et__builder:AsyncUniTaskMethodBuilder; _003C_003E4__this:FlyObjectEffect; targetPos:Vector3; flySpeed:float; _003C_003Eu__1:DOTweenAsyncExtensions.TweenAwaiter; pathPointCount:int; speed:float; controlHeight:float; path:Vector3[],MoveNext():void; SetStateMachine():void; FlyToTarget():UniTask; FlyToTarget():UniTask,,1613
FossilProgressItem.cs,(root),FossilProgressItem.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class FossilProgressItem,4,2,icon:Image; numText:TextMeshProUGUI; defaultColor:Color; activeColor:Color,SetNum():void; Active():void,,350
FossilRewardForm.cs,(root),FossilRewardForm.cs,界面/UI,UGUI 窗口/界面逻辑,Shepherd,class FossilRewardForm,13,9,rewardParent:Transform; rewardPrefab:FossilRewardUI; panel:CanvasGroup; fossilText:TextMeshProUGUI; totalFossilText:TextMeshProUGUI; progressItems:List<FossilProgressItem>; rewardGroups:List<FossilRewardGroup>; rewardUIs:List<FossilRewardUI>; gameMode:GameMode; rewardGroup:FossilRewardGroup; isHide:bool; hasClickButton:bool; IsBlockNavigation:bool,OnInit():void; OnOpen():void; OnClose():void; OnHide():void; OnAccept():void; OnSkip():void; InitRewardItems():void; InitProgress():void; SetSelectedGameObject():void,,1173
FossilRewardFormParams.cs,(root),FossilRewardFormParams.cs,界面/UI,能力触发、效果或参数定义,Shepherd,struct FossilRewardFormParams,2,0,gameMode:GameMode; rewardGroup:FossilRewardGroup,,,174
FossilRewardUI.cs,(root),FossilRewardUI.cs,界面/UI,游戏业务类，具体职责见字段和方法名,Shepherd,class FossilRewardUI,13,4,animalIcon:AnimalIcon; itemIcon:ItemIcon; moneyOrGoldParent:GameObject; moneyOrGoldText:TextMeshProUGUI; moneyOrGoldIcon:UIImageSwitcher; numText:GameObject; summonBack:GameObject; summonIcon:GameObject; rarityProbs:List<float>; animalTypes:List<AnimalType>; itemTypes:List<ItemType>; Reward:FossilReward; Data:object,SetData():void; GetAnimalRarity():Rarity; GetDinosaurAnimal():AnimalSO; GetDinosaurItem():ItemSO,,1014
FpsCounter.cs,(root),FpsCounter.cs,其他/辅助,游戏业务类，具体职责见字段和方法名,Shepherd,class FpsCounter,7,2,updateInterval:float; currentFps:float; frames:int; accumulator:float; timeLeft:float; UpdateInterval:float; CurrentFps:float,Update():void; Reset():void,,516
FrozenEventArgs.cs,(root),FrozenEventArgs.cs,事件参数,GameFramework 事件参数/事件数据载体,Shepherd,class FrozenEventArgs,3,2,EventId:int; Id:int; Animal:Animal,Clear():void; Create():FrozenEventArgs,,360
FungusCell.cs,(root),FungusCell.cs,核心玩法/实体/地图,游戏业务类，具体职责见字段和方法名,Shepherd,class FungusCell,1,0,Type:MapCellType,,,175
FungusSO.cs,(root),FungusSO.cs,配置数据,ScriptableObject 配置结构或资源数据定义,Shepherd,class FungusSO,0,0,,,,171
GameConfig.cs,(root),GameConfig.cs,配置数据,游戏业务类，具体职责见字段和方法名,Shepherd,class GameConfig,10,4,DefaultAnimalFamilyCount:int; DefaultToyCount:int; version:int; gameMode:GameModeType; heroType:HeroType; heroImageIndex:int; animalFamilies:List<AnimalFamily>; toys:List<ToyType>; mapId:MapId; levelId:int,ResetAnimalFamilies():void; CompressAnimalFamily():int; ParseAnimalFamily():void; CreateDefaultConfig():GameConfig,,771
GameConfigUI.cs,(root),GameConfigUI.cs,配置数据,游戏业务类，具体职责见字段和方法名,Shepherd,class GameConfigUI,7,7,familyParent:Transform; familyIconPrefab:AnimalFamilyTalentIcon; toyParent:Transform; toyIconPrefab:ToyIcon; heroAbilityUI:HeroAbilityUI; animalFamilyIcons:List<AnimalFamilyTalentIcon>; toyIcons:List<ToyIcon>,Awake():void; GetToy():ToyIcon; SetConfig():void; UpdateToys():void; SetTalent():void; EnableNavigation():void; EnableHeroNavigation():void,,890
